,Tokens,Occurences
1008,vocal,"[('T6.txt', 1), ('T7.txt', 1)]"
1009,chisel,"[('T8.txt', 1)]"
1010,convent,"[('T1.txt', 1)]"
1011,recurr,"[('T6.txt', 1)]"
1012,seashor,"[('T7.txt', 3)]"
1013,acquisit,"[('T6.txt', 3), ('T7.txt', 4), ('T9.txt', 1)]"
1014,identifi,"[('T1.txt', 1), ('T2.txt', 5), ('T10.txt', 1)]"
1015,egg,"[('T1.txt', 4), ('T6.txt', 24), ('T7.txt', 15), ('T8.txt', 5)]"
1016,candl,"[('T6.txt', 3)]"
1017,91,"[('T1.txt', 3)]"
1018,hibern,"[('T8.txt', 1)]"
1019,number,"[('T1.txt', 3), ('T2.txt', 4), ('T4.txt', 4), ('T5.txt', 5), ('T6.txt', 1), ('T7.txt', 5), ('T8.txt', 1), ('T9.txt', 13), ('T10.txt', 6)]"
1020,_movement_,"[('T9.txt', 1)]"
1021,illumin,"[('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 2), ('T9.txt', 1)]"
1022,get,"[('T1.txt', 2), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 6), ('T8.txt', 4), ('T9.txt', 7), ('T10.txt', 3)]"
1023,built,"[('T1.txt', 1), ('T2.txt', 2), ('T6.txt', 5), ('T9.txt', 3)]"
1024,unprov,"[('T7.txt', 1)]"
1025,friendli,"[('T6.txt', 1)]"
1026,person,"[('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 4)]"
1027,investig,"[('T4.txt', 1), ('T9.txt', 5)]"
1028,discrimin,"[('T1.txt', 1), ('T2.txt', 1), ('T8.txt', 1)]"
1029,underli,"[('T1.txt', 1)]"
1030,35,"[('T5.txt', 1), ('T9.txt', 1)]"
1031,reflector,"[('T5.txt', 4)]"
1032,silent,"[('T6.txt', 1)]"
1033,poorli,"[('T8.txt', 1)]"
1034,cog,"[('T9.txt', 1)]"
1035,formerli,"[('T7.txt', 1)]"
1036,erect,"[('T5.txt', 1), ('T7.txt', 1)]"
1037,dando,"[('T1.txt', 2)]"
1038,stream,"[('T1.txt', 2), ('T2.txt', 2), ('T4.txt', 2), ('T5.txt', 5), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 3)]"
1039,exquisit,"[('T5.txt', 1), ('T6.txt', 1)]"
1040,materi,"[('T2.txt', 1), ('T3.txt', 2), ('T5.txt', 2), ('T6.txt', 12), ('T7.txt', 5), ('T8.txt', 2), ('T9.txt', 2)]"
1041,866400,"[('T5.txt', 1)]"
1042,grass,"[('T7.txt', 1), ('T8.txt', 1)]"
1043,weather,"[('T6.txt', 2), ('T7.txt', 5), ('T8.txt', 1), ('T10.txt', 1)]"
1044,monitor,"[('T1.txt', 1)]"
1045,insignific,"[('T1.txt', 1), ('T4.txt', 1)]"
1046,unpreced,"[('T5.txt', 1)]"
1047,introduc,"[('T1.txt', 1), ('T6.txt', 3), ('T9.txt', 2)]"
1048,lycosa,"[('T6.txt', 1)]"
1049,_cambrian_,"[('T7.txt', 2)]"
1050,satisfactori,"[('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 1)]"
1051,niagara,"[('T1.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
1052,diurnal,"[('T10.txt', 1)]"
1053,roll,"[('T7.txt', 1), ('T9.txt', 1)]"
1054,compli,"[('T10.txt', 9)]"
1055,penguin,"[('T1.txt', 2)]"
1056,impos,"[('T10.txt', 1)]"
1057,newcomb,"[('T1.txt', 1), ('T5.txt', 2)]"
1058,donor,"[('T10.txt', 1)]"
1059,surpris,"[('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
1060,natal,"[('T7.txt', 2)]"
1061,upper,"[('T1.txt', 1), ('T3.txt', 1), ('T6.txt', 2), ('T7.txt', 3), ('T9.txt', 3)]"
1062,solv,"[('T1.txt', 1), ('T7.txt', 2)]"
1063,french,"[('T1.txt', 1), ('T9.txt', 1)]"
1064,shown,"[('T1.txt', 2), ('T6.txt', 4), ('T7.txt', 1), ('T8.txt', 2), ('T9.txt', 10), ('T10.txt', 3)]"
1065,accompani,"[('T1.txt', 1), ('T3.txt', 1), ('T4.txt', 1)]"
1066,crevic,"[('T6.txt', 1)]"
1067,grant,"[('T7.txt', 1), ('T10.txt', 1)]"
1068,drive,"[('T8.txt', 1), ('T10.txt', 2)]"
1069,notch,"[('T9.txt', 1)]"
1070,easi,"[('T2.txt', 2), ('T3.txt', 1), ('T7.txt', 4), ('T8.txt', 2), ('T10.txt', 1)]"
1071,crowd,"[('T4.txt', 1), ('T7.txt', 2), ('T8.txt', 2), ('T9.txt', 2)]"
1072,physic,"[('T1.txt', 3), ('T4.txt', 2), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 6), ('T10.txt', 3)]"
1073,plant,"[('T1.txt', 5), ('T3.txt', 1), ('T6.txt', 32), ('T7.txt', 22), ('T9.txt', 1)]"
1074,scarborough,"[('T1.txt', 1), ('T6.txt', 1)]"
1075,batteri,"[('T9.txt', 2)]"
1076,drop,"[('T2.txt', 2)]"
1077,thought,"[('T1.txt', 1), ('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
1078,activ,"[('T1.txt', 3), ('T2.txt', 6), ('T3.txt', 1), ('T6.txt', 14), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 14), ('T10.txt', 2)]"
1079,broad,"[('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 2), ('T10.txt', 1)]"
1080,owe,"[('T1.txt', 2), ('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 3)]"
1081,son,"[('T1.txt', 4), ('T8.txt', 1), ('T10.txt', 1)]"
1082,realis,"[('T1.txt', 1), ('T5.txt', 1), ('T7.txt', 2), ('T9.txt', 2)]"
1083,2,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 3), ('T4.txt', 1), ('T5.txt', 3), ('T6.txt', 15), ('T7.txt', 13), ('T10.txt', 4)]"
1084,masculin,"[('T6.txt', 4)]"
1085,salt,"[('T1.txt', 1), ('T6.txt', 6), ('T7.txt', 2), ('T10.txt', 1)]"
1086,remind,"[('T3.txt', 1), ('T9.txt', 1)]"
1087,1917_,"[('T6.txt', 1)]"
1088,rid,"[('T6.txt', 2)]"
1089,amphibian,"[('T1.txt', 1), ('T7.txt', 27), ('T8.txt', 1)]"
1090,proton,"[('T9.txt', 1)]"
1091,disregard,"[('T8.txt', 1)]"
1092,dramat,"[('T1.txt', 1)]"
1093,speck,"[('T1.txt', 1), ('T3.txt', 1), ('T6.txt', 1), ('T9.txt', 1)]"
1094,74,"[('T1.txt', 1)]"
1095,genera,"[('T7.txt', 1)]"
1096,501,"[('T10.txt', 2)]"
1097,flint,"[('T6.txt', 1), ('T7.txt', 1)]"
1098,183,"[('T1.txt', 1)]"
1099,beta,"[('T9.txt', 2)]"
1100,208,"[('T1.txt', 2)]"
1101,leonard,"[('T1.txt', 1), ('T10.txt', 1)]"
1102,throughout_,"[('T6.txt', 1)]"
1103,influenc,"[('T1.txt', 2), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 6), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
1104,regist,"[('T2.txt', 1), ('T5.txt', 2), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
1105,conveni,"[('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 1)]"
1106,still,"[('T1.txt', 3), ('T2.txt', 2), ('T4.txt', 3), ('T5.txt', 4), ('T6.txt', 4), ('T7.txt', 6), ('T9.txt', 8), ('T10.txt', 5)]"
1107,pod,"[('T6.txt', 1)]"
1108,random,"[('T5.txt', 1)]"
1109,agglomer,"[('T4.txt', 1)]"
1110,sift,"[('T1.txt', 1), ('T7.txt', 6), ('T9.txt', 1)]"
1111,intend,"[('T1.txt', 1)]"
1112,spong,"[('T1.txt', 1), ('T6.txt', 4), ('T7.txt', 2)]"
1113,dasypelti,"[('T8.txt', 1)]"
1114,horn,"[('T7.txt', 1), ('T8.txt', 1)]"
1115,proof,"[('T1.txt', 3), ('T2.txt', 1), ('T4.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
1116,vastli,"[('T2.txt', 1), ('T6.txt', 1), ('T10.txt', 2)]"
1117,5,"[('T1.txt', 2), ('T2.txt', 4), ('T5.txt', 2), ('T6.txt', 6), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 6)]"
1118,bodi,"[('T1.txt', 17), ('T2.txt', 11), ('T3.txt', 2), ('T4.txt', 1), ('T6.txt', 44), ('T7.txt', 14), ('T9.txt', 18), ('T10.txt', 18)]"
1119,collect,"[('T1.txt', 8), ('T5.txt', 1), ('T6.txt', 6), ('T7.txt', 1), ('T10.txt', 4)]"
1120,lithium,"[('T9.txt', 1)]"
1121,pterosaur,"[('T7.txt', 1)]"
1122,bird,"[('T1.txt', 9), ('T6.txt', 4), ('T7.txt', 52), ('T8.txt', 37)]"
1123,hand,"[('T1.txt', 3), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 3), ('T8.txt', 3), ('T9.txt', 6), ('T10.txt', 3)]"
1124,67,"[('T5.txt', 1), ('T7.txt', 1), ('T9.txt', 2)]"
1125,tap,"[('T7.txt', 1), ('T9.txt', 1)]"
1126,camouflag,"[('T1.txt', 1)]"
1127,rhinocero,"[('T7.txt', 2)]"
1128,find,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 2), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 4), ('T7.txt', 6), ('T8.txt', 3), ('T9.txt', 4), ('T10.txt', 3)]"
1129,stag,"[('T6.txt', 1)]"
1130,hunt,"[('T1.txt', 1), ('T8.txt', 1)]"
1131,latent,"[('T6.txt', 2), ('T9.txt', 1)]"
1132,gambian,"[('T1.txt', 1), ('T7.txt', 1)]"
1133,160,"[('T1.txt', 1), ('T9.txt', 2)]"
1134,weaponless,"[('T7.txt', 1)]"
1135,park,"[('T1.txt', 5)]"
1136,acquir,"[('T2.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
1137,booti,"[('T8.txt', 1)]"
1138,empir,"[('T7.txt', 1)]"
1139,overhang,"[('T8.txt', 1)]"
1140,motionless,"[('T7.txt', 1), ('T8.txt', 1)]"
1141,nest,"[('T1.txt', 4), ('T6.txt', 2), ('T7.txt', 2), ('T8.txt', 6)]"
1142,robber,"[('T1.txt', 1)]"
1143,mention,"[('T2.txt', 2), ('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 3), ('T8.txt', 1), ('T10.txt', 2)]"
1144,etern,"[('T5.txt', 1), ('T7.txt', 2)]"
1145,mauer,"[('T1.txt', 1)]"
1146,9,"[('T2.txt', 1), ('T5.txt', 4), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 3)]"
1147,berri,"[('T7.txt', 1)]"
1148,chick,"[('T6.txt', 1), ('T8.txt', 2)]"
1149,shrink,"[('T1.txt', 1), ('T2.txt', 1), ('T6.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
1150,multicellular,"[('T6.txt', 6)]"
1151,first,"[('T1.txt', 7), ('T2.txt', 2), ('T3.txt', 2), ('T4.txt', 2), ('T5.txt', 3), ('T6.txt', 21), ('T7.txt', 28), ('T8.txt', 6), ('T9.txt', 3), ('T10.txt', 3)]"
1152,wonder,"[('T1.txt', 7), ('T2.txt', 3), ('T3.txt', 3), ('T4.txt', 2), ('T5.txt', 2), ('T6.txt', 4), ('T7.txt', 1), ('T9.txt', 5)]"
1153,surpass,"[('T1.txt', 3), ('T6.txt', 1)]"
1154,complex,"[('T1.txt', 1), ('T6.txt', 4), ('T7.txt', 5), ('T9.txt', 6)]"
1155,gener,"[('T1.txt', 6), ('T2.txt', 2), ('T3.txt', 1), ('T4.txt', 3), ('T5.txt', 4), ('T6.txt', 9), ('T7.txt', 12), ('T8.txt', 1), ('T9.txt', 11), ('T10.txt', 7)]"
1156,learnt,"[('T5.txt', 1)]"
1157,seventieth,"[('T9.txt', 1)]"
1158,newli,"[('T7.txt', 1)]"
1159,sc,"[('T7.txt', 1)]"
1160,hasten,"[('T4.txt', 1)]"
1161,shoebil,"[('T1.txt', 1)]"
1162,peripatu,"[('T1.txt', 1), ('T7.txt', 1)]"
1163,days_,"[('T1.txt', 1)]"
1164,scorpion,"[('T7.txt', 4)]"
1165,unduli,"[('T2.txt', 1)]"
1166,warranti,"[('T10.txt', 5)]"
1167,incub,"[('T8.txt', 1)]"
1168,sensit,"[('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T10.txt', 1)]"
1169,alp,"[('T9.txt', 1)]"
1170,mesozo,"[('T7.txt', 8)]"
1171,ancestri,"[('T7.txt', 1)]"
1172,culmin,"[('T1.txt', 1), ('T7.txt', 3), ('T9.txt', 1)]"
1173,ten,"[('T1.txt', 3), ('T2.txt', 1), ('T3.txt', 5), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
1174,aliv,"[('T5.txt', 1), ('T7.txt', 1)]"
1175,telephon,"[('T2.txt', 1)]"
1176,rook,"[('T8.txt', 1)]"
1177,peculiarli,"[('T6.txt', 1)]"
1178,provinc,"[('T7.txt', 1)]"
1179,power,"[('T1.txt', 5), ('T2.txt', 2), ('T5.txt', 5), ('T6.txt', 1), ('T7.txt', 6), ('T8.txt', 3), ('T9.txt', 9), ('T10.txt', 6)]"
1180,shut,"[('T1.txt', 1), ('T6.txt', 2)]"
1181,clear,"[('T1.txt', 2), ('T3.txt', 2), ('T4.txt', 1), ('T6.txt', 3), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
1182,fire,"[('T1.txt', 2), ('T2.txt', 3), ('T3.txt', 1), ('T4.txt', 4), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 1)]"
1183,burn,"[('T2.txt', 2), ('T4.txt', 1), ('T6.txt', 1), ('T9.txt', 4)]"
1184,repel,"[('T9.txt', 1)]"
1185,spawn,"[('T7.txt', 1)]"
1186,cardboard,"[('T9.txt', 2)]"
1187,203,"[('T1.txt', 1)]"
1188,polyp,"[('T1.txt', 1), ('T6.txt', 3)]"
1189,densiti,"[('T4.txt', 1), ('T10.txt', 1)]"
1190,overtak,"[('T6.txt', 1)]"
1191,arctic,"[('T3.txt', 1)]"
1192,largest,"[('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 5), ('T7.txt', 1)]"
1193,cluster,"[('T1.txt', 1), ('T2.txt', 1), ('T4.txt', 4), ('T5.txt', 1), ('T10.txt', 1)]"
1194,survey,"[('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1)]"
1195,fluke,"[('T7.txt', 1)]"
1196,body_,"[('T6.txt', 1)]"
1197,g,"[('T1.txt', 6), ('T6.txt', 5), ('T7.txt', 10), ('T8.txt', 1), ('T10.txt', 3)]"
1198,leav,"[('T6.txt', 2), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 7)]"
1199,scarlet,"[('T1.txt', 2)]"
1200,leap,"[('T1.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
1201,squirrel,"[('T7.txt', 2), ('T8.txt', 1)]"
1202,air,"[('T1.txt', 2), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 8), ('T6.txt', 5), ('T7.txt', 23), ('T9.txt', 9), ('T10.txt', 1)]"
1203,vapouri,"[('T4.txt', 1)]"
1204,absenc,"[('T4.txt', 2), ('T6.txt', 2), ('T7.txt', 1)]"
1205,_these,"[('T6.txt', 1)]"
1206,brake,"[('T6.txt', 1), ('T10.txt', 2)]"
1207,nebul,"[('T1.txt', 4), ('T2.txt', 1), ('T4.txt', 14), ('T5.txt', 5), ('T6.txt', 2)]"
1208,287,"[('T1.txt', 2)]"
1209,beset,"[('T6.txt', 1)]"
1210,pair,"[('T5.txt', 2), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
1211,widen,"[('T1.txt', 2)]"
1212,felt,"[('T4.txt', 1)]"
1213,devis,"[('T1.txt', 1)]"
1214,refract,"[('T1.txt', 1), ('T5.txt', 1)]"
1215,predecessor,"[('T1.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
1216,visit,"[('T4.txt', 1), ('T6.txt', 1), ('T10.txt', 2)]"
1217,architectur,"[('T1.txt', 1), ('T7.txt', 1)]"
1218,shield,"[('T6.txt', 1)]"
1219,fortun,"[('T9.txt', 1)]"
1220,animal_,"[('T6.txt', 1)]"
1221,columbia,"[('T1.txt', 1), ('T4.txt', 1)]"
1222,mammoth,"[('T1.txt', 1), ('T5.txt', 1), ('T7.txt', 2)]"
1223,intim,"[('T1.txt', 1), ('T6.txt', 4), ('T7.txt', 1)]"
1224,royal,"[('T1.txt', 5), ('T2.txt', 1), ('T4.txt', 2)]"
1225,retent,"[('T7.txt', 1)]"
1226,placent,"[('T7.txt', 1)]"
1227,basin,"[('T6.txt', 1), ('T7.txt', 3)]"
1228,indubit,"[('T6.txt', 1), ('T8.txt', 1), ('T10.txt', 1)]"
1229,open,"[('T1.txt', 8), ('T6.txt', 4), ('T7.txt', 10), ('T8.txt', 3)]"
1230,wire,"[('T5.txt', 1), ('T9.txt', 14)]"
1231,_cretaceous_,"[('T7.txt', 1)]"
1232,daylight,"[('T4.txt', 1)]"
1233,microscopist,"[('T1.txt', 1)]"
1234,157,"[('T1.txt', 4)]"
1235,chitin,"[('T7.txt', 1)]"
1236,gaseou,"[('T2.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 3), ('T9.txt', 1)]"
1237,compass,"[('T1.txt', 1), ('T2.txt', 1), ('T9.txt', 1)]"
1238,journey,"[('T1.txt', 2), ('T4.txt', 1), ('T6.txt', 1)]"
1239,letter,"[('T9.txt', 2), ('T10.txt', 1)]"
1240,carapac,"[('T7.txt', 1), ('T8.txt', 2)]"
1241,merchant,"[('T10.txt', 1)]"
1242,captur,"[('T1.txt', 2), ('T6.txt', 2), ('T7.txt', 3)]"
1243,19,"[('T1.txt', 3), ('T2.txt', 1), ('T4.txt', 2)]"
1244,transcrib,"[('T10.txt', 1)]"
1245,_invisible_,"[('T9.txt', 1)]"
1246,duck,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 2)]"
1247,resembl,"[('T1.txt', 3), ('T2.txt', 1), ('T5.txt', 1), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
1248,cheetah,"[('T1.txt', 1)]"
1249,fowl,"[('T6.txt', 1)]"
1250,contribut,"[('T6.txt', 2), ('T7.txt', 1), ('T10.txt', 2)]"
1251,hump,"[('T10.txt', 3)]"
1252,opalina,"[('T6.txt', 1)]"
1253,abdomin,"[('T7.txt', 1)]"
1254,amoeboid,"[('T6.txt', 3), ('T7.txt', 1)]"
1255,exhibit,"[('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 1)]"
1256,_rhacophorus_,"[('T7.txt', 1)]"
1257,forti,"[('T2.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 2), ('T10.txt', 1)]"
1258,basalt,"[('T6.txt', 1)]"
1259,electrifi,"[('T1.txt', 1), ('T9.txt', 9)]"
1260,emphasis,"[('T7.txt', 1)]"
1261,feather,"[('T1.txt', 1), ('T7.txt', 6), ('T9.txt', 1)]"
1262,constant,"[('T2.txt', 1), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 3)]"
1263,water,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 6), ('T4.txt', 2), ('T6.txt', 21), ('T7.txt', 31), ('T8.txt', 9), ('T9.txt', 13), ('T10.txt', 14)]"
1264,rose,"[('T1.txt', 1)]"
1265,cough,"[('T6.txt', 1)]"
1266,specifi,"[('T10.txt', 2)]"
1267,282,"[('T1.txt', 2)]"
1268,n,"[('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 5)]"
1269,uniti,"[('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
1270,describ,"[('T1.txt', 1), ('T2.txt', 3), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 3), ('T10.txt', 1)]"
1271,pill,"[('T6.txt', 1), ('T7.txt', 1)]"
1272,ditch,"[('T6.txt', 1)]"
1273,conquer,"[('T1.txt', 1), ('T7.txt', 4)]"
1274,strang,"[('T1.txt', 1), ('T4.txt', 2), ('T6.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
1275,habitat,"[('T6.txt', 1), ('T7.txt', 2)]"
1276,osborn,"[('T1.txt', 2), ('T7.txt', 4)]"
1277,1832,"[('T1.txt', 1), ('T7.txt', 1)]"
1278,fifteen,"[('T3.txt', 1), ('T7.txt', 1), ('T8.txt', 2)]"
1279,right,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T5.txt', 3), ('T6.txt', 3), ('T7.txt', 3), ('T8.txt', 2), ('T9.txt', 3), ('T10.txt', 4)]"
1280,moisten,"[('T8.txt', 1)]"
1281,fuel,"[('T9.txt', 1)]"
1282,spit,"[('T1.txt', 1)]"
1283,2971,"[('T5.txt', 1)]"
1284,knead,"[('T7.txt', 1)]"
1285,coconut,"[('T1.txt', 1)]"
1286,tempt,"[('T5.txt', 1), ('T7.txt', 1)]"
1287,econom,"[('T9.txt', 1)]"
1288,fv,"[('T6.txt', 1)]"
1289,chapel,"[('T1.txt', 1)]"
1290,crust,"[('T1.txt', 3), ('T6.txt', 4), ('T7.txt', 4), ('T9.txt', 1), ('T10.txt', 2)]"
1291,puzzl,"[('T8.txt', 1)]"
1292,rippl,"[('T9.txt', 3)]"
1293,_limulus_,"[('T7.txt', 1)]"
1294,game,"[('T1.txt', 1), ('T7.txt', 1)]"
1295,anemon,"[('T1.txt', 3), ('T6.txt', 7)]"
1296,830,"[('T1.txt', 1), ('T2.txt', 1)]"
1297,sampl,"[('T7.txt', 1)]"
1298,to,"[('T7.txt', 5)]"
1299,shorter,"[('T6.txt', 1), ('T9.txt', 5), ('T10.txt', 1)]"
1300,favour,"[('T6.txt', 2), ('T7.txt', 1)]"
1301,98,"[('T5.txt', 1)]"
1302,conced,"[('T5.txt', 1)]"
1303,toe,"[('T7.txt', 3), ('T8.txt', 1)]"
1304,compani,"[('T9.txt', 1)]"
1305,labyrinthodont,"[('T7.txt', 1)]"
1306,secur,"[('T6.txt', 3), ('T7.txt', 7), ('T8.txt', 3), ('T10.txt', 1)]"
1307,inhabit,"[('T1.txt', 2), ('T7.txt', 3), ('T9.txt', 1), ('T10.txt', 1)]"
1308,differ,"[('T1.txt', 3), ('T2.txt', 5), ('T3.txt', 5), ('T4.txt', 2), ('T5.txt', 8), ('T6.txt', 16), ('T7.txt', 20), ('T8.txt', 2), ('T9.txt', 13), ('T10.txt', 4)]"
1309,concaten,"[('T7.txt', 1)]"
1310,_organ,"[('T7.txt', 1)]"
1311,epoch,"[('T1.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
1312,aris,"[('T6.txt', 3), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
1313,viscid,"[('T1.txt', 1)]"
1314,sprawl,"[('T3.txt', 1)]"
1315,odd,"[('T1.txt', 1), ('T6.txt', 1), ('T9.txt', 2)]"
1316,exceed,"[('T6.txt', 1)]"
1317,frost,"[('T3.txt', 1), ('T4.txt', 1), ('T7.txt', 1)]"
1318,competit,"[('T7.txt', 3), ('T8.txt', 1)]"
1319,rise,"[('T1.txt', 5), ('T2.txt', 1), ('T4.txt', 5), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 12), ('T9.txt', 8), ('T10.txt', 3)]"
1320,constantli,"[('T2.txt', 1), ('T8.txt', 1), ('T9.txt', 4)]"
1321,transmut,"[('T9.txt', 4)]"
1322,resurrect,"[('T5.txt', 1)]"
1323,asymmetr,"[('T7.txt', 1)]"
1324,identif,"[('T2.txt', 1), ('T10.txt', 1)]"
1325,effect,"[('T1.txt', 1), ('T2.txt', 3), ('T3.txt', 1), ('T4.txt', 3), ('T5.txt', 4), ('T6.txt', 3), ('T7.txt', 6), ('T8.txt', 4), ('T9.txt', 5), ('T10.txt', 8)]"
1326,theori,"[('T1.txt', 7), ('T2.txt', 2), ('T3.txt', 2), ('T4.txt', 7), ('T6.txt', 9), ('T7.txt', 4), ('T9.txt', 11), ('T10.txt', 10)]"
1327,lieu,"[('T10.txt', 2)]"
1328,helena,"[('T10.txt', 1)]"
1329,background,"[('T1.txt', 2)]"
1330,spend,"[('T5.txt', 1), ('T7.txt', 1)]"
1331,devic,"[('T1.txt', 2), ('T5.txt', 2), ('T7.txt', 1), ('T9.txt', 1)]"
1332,locomotor,"[('T6.txt', 1)]"
1333,_transform,"[('T7.txt', 1)]"
1334,shoot,"[('T1.txt', 2), ('T2.txt', 1), ('T4.txt', 2), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
1335,crustacean,"[('T1.txt', 1), ('T7.txt', 3)]"
1336,iron,"[('T2.txt', 2), ('T3.txt', 1), ('T4.txt', 3), ('T7.txt', 2), ('T9.txt', 10), ('T10.txt', 3)]"
1337,refund,"[('T10.txt', 10)]"
1338,_act,"[('T10.txt', 1)]"
1339,smallest,"[('T9.txt', 2)]"
1340,easier,"[('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
1341,thunder,"[('T7.txt', 1)]"
1342,pglaf,"[('T10.txt', 8)]"
1343,section,"[('T1.txt', 1), ('T3.txt', 1), ('T6.txt', 1), ('T9.txt', 1), ('T10.txt', 9)]"
1344,thirsti,"[('T8.txt', 1)]"
1345,insid,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 2)]"
1346,purpos,"[('T2.txt', 1), ('T6.txt', 1), ('T9.txt', 1), ('T10.txt', 3)]"
1347,interpret,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 2)]"
1348,www,"[('T1.txt', 2), ('T10.txt', 6)]"
1349,actual,"[('T1.txt', 3), ('T2.txt', 2), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 2), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 5)]"
1350,card,"[('T7.txt', 3), ('T10.txt', 1)]"
1351,stir,"[('T9.txt', 1)]"
1352,miocen,"[('T7.txt', 2)]"
1353,interest,"[('T1.txt', 8), ('T3.txt', 2), ('T4.txt', 2), ('T5.txt', 7), ('T6.txt', 5), ('T7.txt', 10), ('T8.txt', 5), ('T9.txt', 3), ('T10.txt', 3)]"
1354,partner,"[('T1.txt', 1)]"
1355,manifold,"[('T6.txt', 1), ('T7.txt', 1)]"
1356,infant,"[('T6.txt', 1)]"
1357,slight,"[('T3.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
1358,studi,"[('T1.txt', 8), ('T2.txt', 2), ('T3.txt', 1), ('T5.txt', 2), ('T6.txt', 1), ('T7.txt', 2), ('T8.txt', 2), ('T9.txt', 1)]"
1359,bon,"[('T9.txt', 1)]"
1360,sedimentari,"[('T6.txt', 1), ('T7.txt', 5)]"
1361,keen,"[('T6.txt', 1)]"
